# outside_temperature_celsius, room_temperature_celsius, fridge_temperature_celsius
7.2195,23.4667,3.5719
7.0096,19.5968,4.7879
5.8454,19.8282,8.1432
12.4199,14.4461,5.0516
9.5158,13.7323,6.0249
7.8912,14.5125,9.0159
10.5972,20.4452,4.0367
10.0741,25.3368,3.5175
9.0370,19.9712,6.4112
15.3133,20.9312,4.1972
6.5638,22.8704,3.0942
4.5524,19.9460,6.2498
9.3421,17.5248,7.3586
6.9899,18.3303,5.2828
6.8224,23.3276,4.6846
11.6751,19.5036,2.5214
11.0532,18.3221,4.6481
10.1074,16.2591,4.0009
8.9396,20.3529,7.2526
10.6942,19.0309,2.9784
9.3832,23.6152,4.1499
10.3436,16.8966,0.2150
10.6002,19.8035,8.7881
7.5925,21.4024,3.2520
13.5264,20.4657,5.1115
12.0333,22.8677,7.0858
9.6362,18.3090,5.8930
8.9591,17.6817,3.7066
9.3862,17.5381,2.9957
11.6229,19.4773,7.6932
9.0067,17.9887,4.9816
12.9398,23.3786,6.0482
12.8984,15.2662,4.2187
11.6760,18.6668,10.1335
11.2296,22.1073,4.0205
13.3050,22.8666,5.5303
10.4586,17.8005,10.2380
6.2743,16.7262,2.6091
9.8359,20.1500,5.0728
7.4825,18.8711,1.5206
10.1018,22.5510,7.8223
11.0685,20.1756,1.6115
8.1197,16.4940,3.7908
10.0087,16.0132,10.1381
11.0504,21.9361,1.4509
10.1493,23.4020,5.9618
7.5311,24.4084,4.1139
14.8068,20.4237,5.4760
11.0760,22.0334,3.0032
8.9671,19.8989,4.7759
9.8000,20.6390,4.2482
13.9877,22.3152,5.3234
6.4667,21.2111,3.5799
5.9014,15.9233,4.8117
11.0440,18.5365,4.8177
11.3338,21.8952,2.1973
11.1058,21.9654,2.2919
9.7363,24.4301,4.3499
7.6127,18.3969,4.9044
8.6754,19.2237,5.3339
8.1402,14.7572,7.5855
5.1223,22.7052,5.2144
7.0822,20.9951,6.0853
10.5697,21.8553,5.4130
9.8950,17.0875,6.9021
12.7343,20.3329,5.1030
3.6995,22.5265,3.9670
12.9263,15.5700,5.4903
12.6639,19.8401,3.5262
11.3153,31.8451,2.3939
10.9431,21.1522,4.0852
12.5033,23.5096,2.4218
12.2249,24.6426,8.8517
7.8950,20.7112,4.0433
12.9865,19.4526,3.3154
9.5230,24.6071,5.6774
7.3464,22.0826,7.6323
9.8280,22.4699,5.6601
10.7348,16.0814,7.6866
9.3925,17.6921,5.2607
12.5317,17.2126,6.2450
8.0136,17.7446,3.3851
13.3374,17.6404,5.9166
9.0416,18.4293,5.4081
10.8042,22.5690,6.5190
11.6048,21.2212,3.8890
8.7907,21.5424,5.1231
9.7402,22.9128,6.3124
11.7190,16.0107,5.5346
12.4085,17.9888,4.6899
11.3971,20.1606,4.2481
8.8896,22.8136,6.0651
11.0091,16.7477,3.6182
9.8631,24.0311,8.2806
9.8761,23.5391,4.5680
11.0882,20.1888,6.6256
8.5809,21.7629,6.1905
14.4284,24.2490,6.2482
10.9208,19.2230,6.3463
9.0322,21.5279,5.1913
9.6212,17.6652,5.5558
10.8423,19.6115,3.1208
7.3054,23.8720,4.8895
10.2966,20.0793,3.4358
11.2073,25.7406,5.4863
13.4096,17.9816,3.9279
7.5446,21.5804,3.8835
7.0719,18.3861,6.8847
10.7772,18.8261,4.4168
10.8771,18.8353,2.4181
9.0058,20.9077,3.6077
9.3054,23.9082,2.5449
7.4114,19.6813,6.4639
7.6246,19.8430,8.4161
9.8348,22.7094,3.3473
10.5374,18.0317,8.6549
9.8650,20.1053,8.8723
11.3973,19.4144,4.9920
5.1056,20.3928,4.6786
11.1874,21.5981,6.1147
12.8168,24.6162,6.9403
7.8479,18.6541,3.7087
12.3280,19.9709,6.6106
10.4158,20.6436,4.7291
7.6371,19.4398,2.5854
8.7958,20.6019,4.9903
8.4998,16.2926,6.4967
10.3635,23.1445,4.6011
4.3020,22.8114,5.9587
5.3990,17.8064,5.5782
10.4671,18.5320,1.5753
10.7860,23.6708,2.8445
13.4762,15.9973,8.0214
11.8412,25.6565,6.7254
12.1328,26.1632,5.1080
8.4809,13.0532,1.3970
10.6817,22.0543,3.2094
8.3599,18.7223,6.7786
9.8707,21.4538,5.7448
8.5211,20.8485,6.5221
10.2747,20.3267,1.4200
9.8608,23.8090,6.4873
