# outside_temperature_celsius, room_temperature_celsius, fridge_temperature_celsius
12.6409,21.7900,3.8051
11.8984,19.7138,4.9623
10.0972,16.4056,9.4267
12.5578,23.8744,6.8298
11.2043,16.7092,4.4202
12.5339,23.3459,7.8014
12.9692,15.1517,5.5667
10.4686,14.5062,5.8977
8.0868,26.5677,7.3860
14.0547,24.0342,2.0131
6.9009,28.7414,7.6342
12.5126,22.3148,4.6528
10.8192,20.1553,6.2561
13.7978,17.5104,7.0538
15.5603,16.4129,4.5098
10.1710,23.4732,1.1701
7.2916,17.5041,6.3597
9.5923,17.6123,5.5699
12.9074,22.7510,7.1792
15.0393,19.7645,7.7992
8.6638,18.9808,4.8769
11.6796,19.3746,5.7131
10.7217,17.9057,5.3941
10.3761,19.7389,6.8352
10.2629,19.9770,1.2914
8.9856,17.7795,2.8516
10.5533,19.1982,6.5521
11.9343,20.5952,3.0454
9.5350,20.6000,7.7666
7.7671,26.1062,3.6091
10.9995,23.3162,8.5578
9.0089,19.4277,5.5578
6.7237,15.9468,3.4273
8.7793,21.6414,7.0136
10.9854,23.4507,8.3573
10.6992,17.4818,5.6150
9.7734,26.7870,3.8269
11.9061,21.0525,5.4801
10.9874,18.0401,2.4757
13.1342,24.2187,3.8965
11.1874,16.0800,2.2183
9.6061,26.0830,1.7225
10.5228,13.8730,6.1830
8.6518,20.4454,6.1530
6.5917,21.1366,3.1473
10.0084,20.6572,5.6411
11.7005,12.3875,3.4401
9.0247,19.9889,6.5266
7.5769,24.5930,4.9281
11.2675,21.8888,1.2236
14.8670,20.4337,4.1448
7.5554,18.2172,7.0328
9.5924,19.4644,3.5074
9.5521,21.4181,5.4371
10.6284,23.0701,5.3620
9.9535,22.2156,2.5710
10.0363,18.6576,7.0413
6.6473,17.0221,5.0208
11.7490,18.2868,7.8396
12.4029,24.6572,0.5475
8.6301,26.6168,5.6784
11.8993,17.8023,4.8003
7.0753,20.8102,10.6549
10.8296,18.1030,4.0995
11.6570,22.7980,5.4680
10.8881,19.7812,5.0927
10.2634,26.9004,8.5462
6.6529,22.2451,7.1780
11.1767,23.1931,6.1875
7.5871,17.2563,6.3538
10.0294,19.0692,5.1097
11.3208,23.6616,3.0403
12.0875,21.6195,5.9248
5.9836,21.2849,4.6803
8.9243,21.5548,6.4012
11.0594,20.9626,5.7776
9.8124,18.6255,2.0386
9.4644,16.9960,6.4253
8.5324,20.8396,4.9013
8.1371,15.0856,6.1124
3.3082,21.8449,1.6901
13.5390,20.5234,3.6765
7.9283,23.1663,7.5973
6.8596,16.7626,5.2485
9.4054,22.0231,9.8345
11.2558,20.5656,4.5077
12.0053,12.7149,2.4731
9.4871,22.9032,3.5017
10.2676,19.7861,5.1432
10.1587,23.4685,7.9394
11.3074,16.9032,7.5884
8.5824,18.3154,4.6278
14.2874,20.2212,3.7103
7.7694,20.6900,6.1446
9.4049,20.1905,4.8622
8.2846,11.6588,6.8772
5.6772,19.5777,3.6222
12.4999,18.1636,3.0895
10.3297,12.0301,2.3876
11.3861,21.8496,8.8816
8.9682,20.6873,1.2834
10.5696,24.5645,3.5000
11.7841,19.6231,3.2652
10.1031,22.2812,4.2647
9.7148,17.3413,5.0641
4.1463,21.8373,7.1712
9.0374,25.2675,4.2041
9.0219,17.7446,4.6610
9.0313,14.9002,6.3975
9.4351,26.7159,4.1432
10.7383,18.5096,4.6528
9.0906,25.2698,2.1447
9.8077,22.1116,0.4461
6.6082,21.2863,6.8965
10.2736,17.0779,6.3493
10.5746,21.8109,6.1119
8.7911,19.4060,5.2929
12.2613,17.4512,1.4154
9.6412,22.1505,5.6330
8.5633,20.7373,5.4572
12.0847,16.0624,5.1920
8.2407,18.4415,3.4657
8.6049,20.9485,4.0596
9.5551,24.5549,9.5404
10.9593,20.3654,3.5756
8.4952,28.4300,3.8930
14.1497,21.7485,3.4961
10.3479,21.2372,3.3876
11.6257,16.2561,8.2752
12.6873,19.8528,5.9241
7.4922,21.9755,8.3378
12.4766,17.8262,3.9810
11.3102,23.4076,4.4246
9.5598,24.0771,4.0857
8.6432,21.7076,4.4526
12.9300,18.4648,5.2464
10.2900,17.2398,4.5806
8.7567,26.3867,4.3023
8.4423,21.4250,1.8812
9.5604,22.1799,3.1116
9.5069,18.7983,3.7553
6.8538,23.3215,6.4864
11.4330,17.6058,5.4556
