# outside_temperature_celsius, room_temperature_celsius, fridge_temperature_celsius
9.5346,24.0586,5.8006
8.1766,19.9167,7.9496
11.9816,21.4672,5.2598
8.9421,20.1955,6.3532
8.4080,19.3138,5.3498
8.4012,26.1268,9.5329
11.7350,20.2384,6.3379
11.8683,22.4081,2.9767
8.5464,22.4729,5.6359
9.3622,14.7461,5.9321
7.4526,24.3333,8.4652
10.9711,20.4342,8.4700
9.3106,18.8490,4.2078
13.3610,20.1912,8.7785
8.7674,20.1867,5.2639
11.3507,18.5526,6.8042
9.3128,18.5195,4.5718
11.3459,19.2483,5.5970
8.0613,19.6982,5.5971
9.6720,18.2096,0.5119
7.0611,19.9196,7.1357
11.1943,16.8970,2.1185
12.0430,15.1781,5.4506
12.5956,20.5498,4.9549
10.5513,18.3585,6.5666
11.1848,15.9036,3.0754
11.8683,20.6717,6.6919
10.1780,17.3198,5.3511
11.2891,19.4865,4.3746
11.0670,14.9585,6.9436
8.6070,24.6717,2.5741
7.6089,19.4764,1.5122
8.1784,16.4072,5.0839
11.5639,21.2053,5.7560
9.5674,19.6199,3.1516
10.1463,18.0074,5.1013
9.3748,12.2115,6.0314
8.3344,21.3253,6.4561
11.7061,15.5022,7.7101
10.4142,23.4166,4.8807
11.9201,17.8704,5.4080
7.3559,21.4516,5.4738
10.1668,16.8836,5.2287
10.4849,24.2897,1.5398
11.5942,19.9658,7.3232
10.0019,20.9728,2.2643
9.5066,22.2610,5.4019
7.4759,14.6901,2.6567
10.9166,20.9977,4.1929
9.2623,22.4967,3.7936
9.5952,18.9854,-0.0707
14.5408,18.8188,4.1263
10.1033,18.1039,4.3169
5.3162,17.9498,4.0740
9.9635,18.7869,3.6609
10.7524,18.5247,1.3150
7.0953,17.8180,7.8448
8.8389,19.4548,7.1636
7.1902,13.4555,3.8538
10.5276,23.5238,3.8759
10.6871,22.8757,6.5194
8.7111,20.9922,2.1277
10.7937,21.9633,6.5875
11.0608,23.3501,6.1718
10.7141,19.7427,7.5030
9.2115,17.6046,5.7769
14.1846,11.2357,3.2260
9.6856,18.4184,6.8654
11.5971,23.8952,5.3534
13.1591,17.0366,1.7706
8.3069,19.8672,4.7042
9.1736,19.0806,4.0805
13.3518,19.0403,2.8639
11.8238,19.9015,6.5120
9.0491,23.6325,3.8082
12.3782,22.4409,4.8521
11.7843,20.3167,4.6061
8.0252,18.3545,1.5879
11.6954,17.4784,6.5557
10.9278,14.4924,6.1196
7.9631,15.4614,6.7661
13.3481,15.4952,2.5213
9.0075,22.1170,5.0109
10.2142,23.8261,6.2532
12.1237,14.7905,8.0653
9.1997,19.1854,6.3724
9.0651,19.1329,6.2343
6.3270,18.1086,6.0781
6.9235,16.6417,2.4860
8.2495,22.0022,2.4143
11.2596,21.1298,6.7419
9.7205,21.3443,2.0255
7.0464,19.0501,5.7590
8.2708,23.6317,4.5498
7.2951,19.6904,1.1910
8.0382,17.7101,4.1352
9.2715,19.4003,2.6391
9.0060,18.7419,7.4916
13.3662,19.2956,8.9742
6.2926,22.2351,5.4596
9.1394,19.1950,3.9020
9.1999,21.4123,2.3785
9.6664,21.4906,3.6865
14.2089,17.3001,4.1989
11.8715,22.4021,4.2331
11.6128,22.8237,10.4079
8.4455,17.8745,4.4455
6.9802,21.4420,3.0796
8.8933,19.5683,7.1723
8.6959,16.9251,6.3175
10.2381,22.1273,6.0661
11.5102,20.1575,4.2848
9.2627,23.0274,8.1315
10.9353,23.3859,2.9823
10.5292,17.0020,5.1228
10.9398,20.0757,2.9895
8.4761,16.4841,4.6410
10.2784,19.9389,4.0046
11.2114,18.0111,7.2918
9.5247,24.4447,7.1332
10.3539,21.5445,4.3580
10.3858,16.3019,7.7931
7.6010,19.3507,0.7784
10.3424,16.1455,6.6666
8.1679,22.5361,9.1468
12.4444,22.3561,4.5204
10.6315,16.1979,5.7940
8.3951,18.2258,6.0010
7.8913,18.9342,6.4959
12.4456,17.7738,6.6352
11.0183,18.6026,3.0098
9.6257,20.5679,6.3267
7.5077,21.9493,3.4626
11.6451,18.5607,0.7379
8.2210,21.7259,5.4332
10.4794,19.8521,7.6580
9.2661,26.8384,1.2342
8.0526,18.6568,5.1482
11.0814,22.6075,1.3458
8.3834,22.8681,7.9801
11.1023,23.6067,7.0772
9.9271,17.1468,7.0434
10.2452,20.1011,2.2944
4.7201,17.0454,5.9715
11.7047,19.4129,5.7471
7.4613,23.2470,2.8050
7.4214,21.2941,6.1299
12.0046,18.3524,8.6780
10.3936,18.7356,6.0730
9.9376,21.0416,3.9043
13.6791,16.4817,4.0127
12.8305,16.2399,5.3420
10.4272,17.7267,5.7711
11.2123,15.9463,4.8412
13.1958,24.2869,8.7504
13.6496,17.7923,2.9826
9.3642,17.6282,2.4498
8.3410,17.5934,2.9458
9.3148,20.9824,6.7517
10.2350,21.7692,6.1572
11.3606,19.7976,3.0776
10.4066,16.9934,7.2360
8.7332,24.7887,6.4075
8.1136,18.9999,5.6091
9.4719,25.7443,4.6808
10.8826,23.5000,6.5705
10.9316,24.0022,3.8564
10.7546,14.9932,7.0602
11.3240,19.1173,5.7572
12.5718,24.3095,6.7943
8.3167,18.0945,1.8544
10.5750,18.3092,5.5886
9.7124,17.3120,8.8564
10.1201,19.9527,3.8069
6.7357,25.9730,6.6279
12.0239,18.2673,8.3738
6.8277,17.9280,3.0174
7.7952,21.8261,4.6028
9.4868,24.5365,2.2611
12.8669,19.2299,4.1717
11.5095,17.9668,7.5958
12.3215,20.3412,6.7184
8.5943,22.3011,7.7628
7.5461,21.5052,2.6585
10.8629,17.5752,10.0987
6.6011,20.8516,5.8644
9.2825,20.5422,5.8891
9.0903,24.4915,3.3558
11.3562,18.4736,9.1542
8.7414,19.3108,3.9921
9.6336,19.3974,4.4864
10.5885,21.1696,9.5260
9.5116,11.8771,5.3475
4.2726,20.7865,4.9918
8.8532,19.7013,5.3938
9.8099,19.6874,4.1789
6.6480,16.4623,1.6752
6.1831,17.1050,3.2669
10.1967,16.9504,6.1336
10.7156,19.6557,9.5817
7.3172,22.5632,4.3379
6.7443,21.7276,7.4796
8.8159,18.2410,3.6812
9.4705,17.1103,2.7033
13.1269,19.2686,4.7911
9.9609,18.3867,4.7914
8.8148,18.4329,6.8107
10.7025,23.5871,3.8709
11.6764,23.2425,3.4945
9.0229,19.3368,2.0118
9.3372,24.8652,3.0940
5.8814,19.4600,7.3153
8.7545,22.3126,3.4604
7.5079,16.2427,4.0048
10.5302,15.7356,6.9012
9.3471,20.1123,5.2877
9.7644,17.2168,6.2790
11.5305,22.4651,4.4651
6.5042,20.3325,7.3119
11.4452,14.9071,3.3104
5.5555,24.3637,3.4119
8.6628,24.1516,4.5134
10.4624,17.3665,0.3748
13.1135,20.2217,2.9812
10.1248,19.3707,6.1385
4.8582,18.0059,5.9388
9.8051,23.2630,9.0240
8.5991,18.6062,7.6222
9.9500,19.9108,8.2073
8.4506,21.8629,4.1300
12.0175,21.1930,5.7982
8.4386,14.1953,3.5270
7.5456,22.7927,8.1988
