# outside_temperature_celsius, room_temperature_celsius, fridge_temperature_celsius
9.2790,16.6565,1.1502
13.5526,19.2653,4.8733
6.3396,19.3780,3.9640
9.9326,17.7249,3.1492
7.4514,24.0207,2.8850
9.1746,17.5522,3.7660
10.2418,15.2263,7.0378
11.5930,21.7002,2.8324
7.5441,16.4667,5.6986
10.1566,22.7772,4.7735
8.9296,15.7509,5.8846
9.1765,21.6516,3.9907
10.7421,21.2426,1.6578
12.3679,18.7228,3.4420
8.4577,23.4258,7.4061
8.3809,18.5812,4.1132
12.5799,22.3663,3.2289
11.7758,15.1634,8.7589
9.7729,23.6457,3.5817
11.3106,19.7148,6.8802
12.6827,23.3618,3.2971
11.2992,17.9726,7.4753
12.3789,21.0126,7.4589
12.8751,21.8814,4.4833
6.9870,21.5827,4.5373
14.8186,18.6396,5.4244
7.6379,14.4163,1.2456
11.5483,13.8192,4.1787
8.8694,19.8789,3.8260
7.7763,19.9380,5.8717
12.6954,16.3794,6.7962
7.2603,27.5341,6.0854
14.7413,21.5654,6.0845
8.6001,21.6362,2.3243
7.2758,18.2405,3.5983
5.5247,17.7505,4.1239
10.7326,16.2496,3.4580
5.8394,18.1821,5.7192
11.5227,18.0687,5.8367
11.3558,18.4100,4.9272
9.9299,18.9894,5.3159
9.2384,18.0280,7.2135
11.4415,16.8747,5.5981
9.1510,18.3448,7.0880
13.9655,25.4235,3.0723
10.9770,19.2983,5.3085
11.0749,21.0929,4.9130
9.9541,23.0976,2.4711
10.2577,28.0070,5.2451
10.5813,21.2252,5.9284
9.0152,23.3180,4.6124
13.8678,21.6329,4.8994
8.3804,16.8028,6.0639
9.8785,22.9635,4.2670
7.7563,22.0971,4.4833
8.0106,21.4045,5.5117
8.6317,23.1820,3.5406
7.0944,18.1573,0.1425
12.8227,25.5279,6.0926
9.5531,24.2340,3.2116
11.2043,19.6843,5.7265
10.6539,15.9149,7.8488
9.2271,18.0031,2.8935
11.4114,21.3592,4.9839
9.9859,22.3068,7.4482
6.4050,21.5888,3.5253
9.0261,21.7799,6.5893
13.3589,17.9601,4.6963
5.0663,17.2799,4.4123
15.0930,20.6811,5.7038
12.9754,20.5163,6.6110
12.7685,23.8725,6.1323
13.9244,22.9236,9.1324
11.8137,20.2201,4.9647
12.5837,15.7310,6.2502
6.6144,21.0931,4.2698
10.4267,17.3545,3.5872
9.9971,22.0259,2.9550
12.1352,21.0116,7.8259
9.6752,27.9242,5.6469
11.8596,24.5421,5.3387
8.0790,18.9566,6.1775
7.6416,18.7869,3.3841
8.9288,24.2923,2.9799
12.3439,18.4049,4.8060
9.0622,20.2211,6.0342
13.4373,17.8325,5.6547
10.6991,18.3285,3.7818
10.5582,22.6889,5.1837
9.3066,18.3262,5.1664
9.4064,21.6190,5.9988
10.6168,19.8124,6.8418
7.0894,18.8851,6.3278
12.9130,19.8989,2.2287
8.8953,24.9684,5.3386
12.3754,20.7404,-0.3429
8.6999,21.4014,5.7473
11.8177,17.6339,7.9727
9.0703,18.6642,5.3155
11.6917,21.7442,3.7498
8.6880,20.6802,8.6291
9.0850,22.3794,4.9025
12.8634,17.5101,6.1651
10.8204,18.8390,4.1503
8.4910,17.2509,3.1763
11.2658,17.7061,3.2429
9.2484,20.4571,4.0701
9.9915,22.6105,4.5199
6.3893,19.8576,1.7836
13.6798,17.8487,7.6802
10.7916,24.0114,2.2957
6.9667,22.4169,2.4021
12.6317,22.3589,6.6771
14.0563,16.0932,4.8526
12.1741,21.9878,2.9351
5.6610,20.8827,3.6730
8.8340,24.5214,8.0364
11.8149,11.5239,7.2435
12.1394,19.5837,4.3845
9.1322,17.8510,2.1955
9.0108,22.4855,8.0162
13.3149,19.0963,5.6663
9.4949,22.1821,4.5579
9.5438,20.5626,6.3210
10.7177,28.1374,8.3650
9.0655,16.6564,6.5694
9.1612,18.3211,5.9821
10.0024,16.5205,6.6152
8.7885,21.1521,5.9702
7.5133,21.5555,5.8107
7.6404,17.0749,-0.1325
14.8904,25.1256,2.5728
8.4758,22.0273,4.0543
13.7092,27.4709,3.5917
10.4535,18.6650,6.9201
9.7692,20.8989,1.0349
12.0126,17.3538,6.9437
10.2509,17.2136,5.0159
11.2990,18.2247,5.4299
13.7066,17.8368,3.4634
8.9563,16.6657,6.9081
9.6848,21.8020,8.0054
9.1280,15.3631,7.3023
7.9142,19.7769,5.1278
12.0459,23.4470,3.7636
13.0588,16.8742,2.1282
9.6976,14.3736,6.3802
11.4973,26.5235,6.7044
12.4618,22.2742,2.8368
9.0252,20.8323,4.7103
10.8045,19.0925,6.5763
13.0547,20.5797,5.4932
7.4413,18.2229,6.0574
10.6808,21.2780,1.2410
10.1822,20.4567,3.3465
10.9635,18.9106,8.0559
11.5793,23.1926,6.1496
9.2511,19.8169,4.0161
9.9330,12.3298,7.0918
14.8413,22.3260,5.2047
11.2424,20.7826,4.5419
12.7964,17.1990,5.6417
10.3029,16.1764,5.5268
11.1795,22.1924,5.1699
9.1315,19.2236,4.6431
9.7805,20.1661,5.4542
10.7874,18.4322,1.7811
11.5804,15.7573,6.0349
9.5737,20.5192,2.3657
9.2815,21.9447,3.5398
