# outside_temperature_celsius, room_temperature_celsius, fridge_temperature_celsius
9.8970,21.4141,5.6076
8.4882,16.2427,1.6219
9.4219,20.5911,4.4273
8.4852,21.0505,4.9681
10.9620,18.6494,6.8539
12.4935,14.3813,6.1676
11.4781,23.4289,4.5375
10.3977,16.1365,-0.2854
10.2994,18.0663,5.4804
13.0816,25.3766,3.1278
10.4051,19.2580,6.0994
8.2507,20.6186,7.6769
6.0768,19.5386,6.8342
8.3390,22.7883,1.6738
10.7017,19.1480,7.1394
9.6877,21.4409,7.5011
13.1138,24.2468,5.1158
10.6760,22.5995,4.1430
4.2756,22.0965,2.9921
9.2901,24.6206,7.2951
8.6615,16.6655,3.6390
13.4160,21.5523,4.1401
10.6918,17.3086,4.2869
9.0478,17.2483,3.9280
12.3572,18.8730,2.7989
7.7411,14.6928,4.1148
7.0283,13.5201,7.5903
9.1631,20.7155,0.7583
6.7277,21.3191,3.3298
5.1534,15.9961,6.0157
10.5891,21.6032,7.3857
14.1037,20.0994,2.8523
9.5021,19.8938,1.7718
10.5045,19.2669,5.9385
7.1937,18.8557,5.8917
10.7657,18.5621,5.7228
12.9358,22.0236,4.1057
6.0544,18.9812,3.8850
12.1192,18.4933,7.1404
10.2756,18.0359,4.8183
11.1296,17.3317,3.3250
9.4210,17.3790,4.3758
8.2436,20.6264,4.4610
8.9127,18.1650,5.8368
13.8991,17.8556,4.4904
8.5686,20.8375,3.5567
9.0188,19.9037,3.3404
10.2752,16.8696,7.1394
9.7896,21.7962,8.0614
10.2888,21.1121,2.9284
10.2168,20.3009,5.6510
10.3291,16.0795,4.8232
11.0509,17.3789,5.7002
14.0427,23.0164,6.5224
9.0098,18.3943,4.6121
11.0114,19.7165,5.1230
9.9579,19.6992,4.8266
11.3961,18.3902,4.5364
8.8995,22.0636,6.7029
8.2417,18.3622,5.1324
9.8896,19.7886,2.3869
9.8981,16.1757,8.8888
11.2626,26.3670,3.7774
8.7372,22.3245,5.4849
6.2861,24.8269,2.7558
6.8238,17.5040,7.4709
11.0377,21.0741,1.5878
11.9027,19.9890,3.8287
5.9216,16.1850,4.5956
